# 27.02.2019
# Hall voltage and resistivity measures
# T   V_offset   V_Hall   R_mn,op   R_no,pm
82  -77.48  -65.68  -152.000  -223.000
85  -65.30  -55.00  -129.000  -194.000
90  -54.20  -45.80  -105.600  -156.000
95  -45.70  -38.60  -89.510 -135.000
100 -39.60  -33.50  -77.750 -117.100
105 -34.78  -29.30  -68.87  -103.45
110 -30.98  -26.15  -61.89  -92.75
115 -27.89  -23.55  -56.33  -84.15
120 -25.38  -21.47  -51.83  -77.13
125 -23.29  -19.67  -48.12  -71.33
130 -21.53  -18.17  -45.09  -66.57
135 -20.10  -16.98  -42.60  -62.66
140 -18.86  -15.93  -40.47  -59.28
145 -17.79  -15.06  -38.72  -56.49
150 -16.90  -14.37  -37.21  -54.07
155 -16.131 -13.694 -35.992 -52.108
160 -15.450 -13.127 -34.953 -50.395
165 -14.865 -12.650 -34.085 -48.935
170 -14.351 -12.260 -33.354 -47.719
175 -13.883 -11.845 -32.727 -46.630
180 -13.521 -11.561 -32.267 -45.804
185 -13.179 -11.290 -31.876 -45.073
190 -12.850 -11.052 -31.543 -44.426
195 -12.579 -10.850 -31.312 -43.927
200 -12.336 -10.625 -31.150 -43.519
